Notes,County,County Code,Year,Year Code,Deaths,Population,Crude Rate
,"Cherokee County, AL",1019.0,2023.0,2023.0,0.0,25666,0.03
,"Chilton County, AL",1021.0,2018.0,2018.0,11.0,44153,0.02
,"Chilton County, AL",1021.0,2019.0,2019.0,15.0,44428,0.03
,"Chilton County, AL",1021.0,2020.0,2020.0,0.0,44397,0.02
,"Chilton County, AL",1021.0,2021.0,2021.0,0.0,45274,0.02
,"Chilton County, AL",1021.0,2022.0,2022.0,0.0,45884,0.02
,"Chilton County, AL",1021.0,2023.0,2023.0,0.0,46431,0.02
,"Choctaw County, AL",1023.0,2018.0,2018.0,0.0,12841,0.00
,"Choctaw County, AL",1023.0,2019.0,2019.0,0.0,12589,0.00
,"Choctaw County, AL",1023.0,2020.0,2020.0,0.0,12418,0.00
,"Choctaw County, AL",1023.0,2021.0,2021.0,0.0,12533,0.00
,"Choctaw County, AL",1023.0,2022.0,2022.0,0.0,12439,0.00
,"Choctaw County, AL",1023.0,2023.0,2023.0,0.0,12252,0.00
,"Clarke County, AL",1025.0,2018.0,2018.0,191.0,23920,0.80
,"Clarke County, AL",1025.0,2019.0,2019.0,557.0,23622,2.36
,"Clarke County, AL",1025.0,2020.0,2020.0,204.0,23291,0.87
,"Clarke County, AL",1025.0,2021.0,2021.0,463.0,22760,2.03
,"Clarke County, AL",1025.0,2022.0,2022.0,178.0,22515,0.79
,"Clarke County, AL",1025.0,2023.0,2023.0,559.0,22337,2.50
,"Clay County, AL",1027.0,2018.0,2018.0,0.0,13275,0.00
,"Clay County, AL",1027.0,2019.0,2019.0,0.0,13235,0.00
,"Clay County, AL",1027.0,2020.0,2020.0,0.0,13112,0.00
,"Clay County, AL",1027.0,2021.0,2021.0,0.0,14190,0.00
,"Clay County, AL",1027.0,2022.0,2022.0,0.0,14198,0.00
,"Clay County, AL",1027.0,2023.0,2023.0,0.0,14111,0.00
,"Cleburne County, AL",1029.0,2018.0,2018.0,0.0,14987,0.00
,"Cleburne County, AL",1029.0,2019.0,2019.0,0.0,14910,0.00
,"Cleburne County, AL",1029.0,2020.0,2020.0,0.0,14967,0.00
,"Cleburne County, AL",1029.0,2021.0,2021.0,0.0,15103,0.00
,"Cleburne County, AL",1029.0,2022.0,2022.0,0.0,15346,0.00
,"Cleburne County, AL",1029.0,2023.0,2023.0,0.0,15639,0.00
,"Coffee County, AL",1031.0,2018.0,2018.0,1424.0,51909,2.74
,"Coffee County, AL",1031.0,2019.0,2019.0,612.0,52342,1.17
,"Coffee County, AL",1031.0,2020.0,2020.0,533.0,53230,1.00
,"Coffee County, AL",1031.0,2021.0,2021.0,781.0,54174,1.44
,"Coffee County, AL",1031.0,2022.0,2022.0,1600.0,54805,2.92
,"Coffee County, AL",1031.0,2023.0,2023.0,505.0,55643,0.91
,"Colbert County, AL",1033.0,2018.0,2018.0,17.0,54762,0.03
,"Colbert County, AL",1033.0,2019.0,2019.0,7.2,55241,12.95
,"Colbert County, AL",1033.0,2020.0,2020.0,14.0,55411,0.03
,"Colbert County, AL",1033.0,2021.0,2021.0,7.4,57474,12.95
,"Colbert County, AL",1033.0,2022.0,2022.0,8.7,58033,15.03
,"Colbert County, AL",1033.0,2023.0,2023.0,25.0,58361,42.84
,"Conecuh County, AL",1035.0,2018.0,2018.0,0.0,12277,0.00
,"Conecuh County, AL",1035.0,2019.0,2019.0,0.0,12067,0.00
,"Conecuh County, AL",1035.0,2020.0,2020.0,0.0,11851,0.00
,"Conecuh County, AL",1035.0,2021.0,2021.0,0.0,11328,0.00
,"Conecuh County, AL",1035.0,2022.0,2022.0,0.0,11206,0.00
,"Conecuh County, AL",1035.0,2023.0,2023.0,0.0,11174,0.00
,"Coosa County, AL",1037.0,2018.0,2018.0,0.0,10715,0.00
,"Coosa County, AL",1037.0,2019.0,2019.0,0.0,10663,0.00
,"Coosa County, AL",1037.0,2020.0,2020.0,0.0,10650,0.00
,"Coosa County, AL",1037.0,2021.0,2021.0,0.0,10450,0.00
,"Coosa County, AL",1037.0,2022.0,2022.0,0.0,10166,0.00
,"Coosa County, AL",1037.0,2023.0,2023.0,0.0,10268,0.00
,"Covington County, AL",1039.0,2018.0,2018.0,13.0,36986,0.03
,"Covington County, AL",1039.0,2019.0,2019.0,13.0,37049,0.04
,"Covington County, AL",1039.0,2020.0,2020.0,11.0,36930,0.03
,"Covington County, AL",1039.0,2021.0,2021.0,10.0,37524,0.03
,"Covington County, AL",1039.0,2022.0,2022.0,0.0,37602,0.03
,"Covington County, AL",1039.0,2023.0,2023.0,12.0,37952,0.03
,"Crenshaw County, AL",1041.0,2018.0,2018.0,343.0,13824,2.48
,"Crenshaw County, AL",1041.0,2019.0,2019.0,283.0,13772,2.05
,"Crenshaw County, AL",1041.0,2020.0,2020.0,93.0,13681,0.68
,"Crenshaw County, AL",1041.0,2021.0,2021.0,281.0,13083,2.15
,"Crenshaw County, AL",1041.0,2022.0,2022.0,361.0,13025,2.77
,"Crenshaw County, AL",1041.0,2023.0,2023.0,127.0,13101,0.97
,"Cullman County, AL",1043.0,2018.0,2018.0,28.7,83442,34.35
,"Cullman County, AL",1043.0,2019.0,2019.0,28.4,83768,33.86
,"Cullman County, AL",1043.0,2020.0,2020.0,28.6,84515,33.83
,"Cullman County, AL",1043.0,2021.0,2021.0,34.0,89496,37.99
,"Cullman County, AL",1043.0,2022.0,2022.0,33.0,90665,36.40
,"Cullman County, AL",1043.0,2023.0,2023.0,32.0,92016,34.78
,"Dale County, AL",1045.0,2018.0,2018.0,11.0,48956,0.02
,"Dale County, AL",1045.0,2019.0,2019.0,10.0,49172,0.02
,"Dale County, AL",1045.0,2020.0,2020.0,9.0,48959,0.02
,"Dale County, AL",1045.0,2021.0,2021.0,0.0,49342,0.02
,"Dale County, AL",1045.0,2022.0,2022.0,0.0,49544,0.02
,"Dale County, AL",1045.0,2023.0,2023.0,0.0,49871,0.02
,"Dallas County, AL",1047.0,2018.0,2018.0,16.0,38310,0.04
,"Dallas County, AL",1047.0,2019.0,2019.0,16.0,37196,0.04
,"Dallas County, AL",1047.0,2020.0,2020.0,16.0,36098,0.05
,"Dallas County, AL",1047.0,2021.0,2021.0,16.0,37619,0.04
,"Dallas County, AL",1047.0,2022.0,2022.0,0.0,36767,0.04
,"Dallas County, AL",1047.0,2023.0,2023.0,0.0,36165,0.04
,"DeKalb County, AL",1049.0,2018.0,2018.0,20.3,71385,28.41
,"DeKalb County, AL",1049.0,2019.0,2019.0,22.0,71513,30.76
,"DeKalb County, AL",1049.0,2020.0,2020.0,22.1,71658,30.80
,"DeKalb County, AL",1049.0,2021.0,2021.0,20.9,71813,29.14
,"DeKalb County, AL",1049.0,2022.0,2022.0,22.0,71998,30.56
,"DeKalb County, AL",1049.0,2023.0,2023.0,21.0,72569,28.94
,"Elmore County, AL",1051.0,2018.0,2018.0,14.0,81887,0.02
,"Elmore County, AL",1051.0,2019.0,2019.0,11.0,81209,0.01
,"Elmore County, AL",1051.0,2020.0,2020.0,6.0,82158,7.33
,"Elmore County, AL",1051.0,2021.0,2021.0,7.6,89304,8.48
,"Elmore County, AL",1051.0,2022.0,2022.0,6.8,89563,7.59
,"Elmore County, AL",1051.0,2023.0,2023.0,21.0,90441,23.22
,"Escambia County, AL",1053.0,2018.0,2018.0,23.7,36748,64.46
,"Escambia County, AL",1053.0,2019.0,2019.0,22.0,36633,60.03
,"Escambia County, AL",1053.0,2020.0,2020.0,23.9,36281,65.81
,"Escambia County, AL",1053.0,2021.0,2021.0,24.0,36699,65.40
,"Escambia County, AL",1053.0,2022.0,2022.0,21.2,36666,57.78
,"Escambia County, AL",1053.0,2023.0,2023.0,22.0,36558,60.18
,"Etowah County, AL",1055.0,2018.0,2018.0,30.0,102501,29.27
,"Etowah County, AL",1055.0,2019.0,2019.0,23.0,102268,22.49
,"Etowah County, AL",1055.0,2020.0,2020.0,23.0,102371,22.47
,"Etowah County, AL",1055.0,2021.0,2021.0,42.0,103162,40.71
,"Etowah County, AL",1055.0,2022.0,2022.0,45.0,103088,43.65
,"Etowah County, AL",1055.0,2023.0,2023.0,46.0,103241,44.56
,"Fayette County, AL",1057.0,2018.0,2018.0,8.0,16433,0.05
,"Fayette County, AL",1057.0,2019.0,2019.0,11.0,16302,0.07
,"Fayette County, AL",1057.0,2020.0,2020.0,11.0,16241,0.07
,"Fayette County, AL",1057.0,2021.0,2021.0,0.0,16148,0.07
,"Fayette County, AL",1057.0,2022.0,2022.0,12.0,16118,0.07
,"Fayette County, AL",1057.0,2023.0,2023.0,8.0,15967,0.05
,"Franklin County, AL",1059.0,2018.0,2018.0,13.0,31363,0.04
,"Franklin County, AL",1059.0,2019.0,2019.0,10.0,31362,0.03
,"Franklin County, AL",1059.0,2020.0,2020.0,12.0,31507,0.04
,"Franklin County, AL",1059.0,2021.0,2021.0,11.0,32013,0.04
,"Franklin County, AL",1059.0,2022.0,2022.0,0.0,31932,0.04
,"Franklin County, AL",1059.0,2023.0,2023.0,13.0,31802,0.04
,"Geneva County, AL",1061.0,2018.0,2018.0,292.0,26314,1.11
,"Geneva County, AL",1061.0,2019.0,2019.0,492.0,26271,1.87
,"Geneva County, AL",1061.0,2020.0,2020.0,233.0,26411,0.88
,"Geneva County, AL",1061.0,2021.0,2021.0,762.0,26701,2.85
,"Geneva County, AL",1061.0,2022.0,2022.0,450.0,26783,1.68
,"Geneva County, AL",1061.0,2023.0,2023.0,180.0,26988,0.67
,"Greene County, AL",1063.0,2018.0,2018.0,0.0,8233,0.00
,"Greene County, AL",1063.0,2019.0,2019.0,0.0,8111,0.00
,"Greene County, AL",1063.0,2020.0,2020.0,0.0,7990,0.00
,"Greene County, AL",1063.0,2021.0,2021.0,0.0,7629,0.00
,"Greene County, AL",1063.0,2022.0,2022.0,0.0,7422,0.00
,"Greene County, AL",1063.0,2023.0,2023.0,0.0,7341,0.00
,"Hale County, AL",1065.0,2018.0,2018.0,0.0,14726,0.00
,"Hale County, AL",1065.0,2019.0,2019.0,0.0,14651,0.00
,"Hale County, AL",1065.0,2020.0,2020.0,0.0,14670,0.00
,"Hale County, AL",1065.0,2021.0,2021.0,0.0,14754,0.00
,"Hale County, AL",1065.0,2022.0,2022.0,0.0,14595,0.00
,"Hale County, AL",1065.0,2023.0,2023.0,0.0,14888,0.00
,"Henry County, AL",1067.0,2018.0,2018.0,0.0,17209,0.00
,"Henry County, AL",1067.0,2019.0,2019.0,0.0,17205,0.00
,"Henry County, AL",1067.0,2020.0,2020.0,0.0,17223,0.00
,"Henry County, AL",1067.0,2021.0,2021.0,0.0,17459,0.00
,"Henry County, AL",1067.0,2022.0,2022.0,0.0,17655,0.00
,"Henry County, AL",1067.0,2023.0,2023.0,0.0,17899,0.00
,"Houston County, AL",1069.0,2018.0,2018.0,24.5,104722,23.38
,"Houston County, AL",1069.0,2019.0,2019.0,24.7,105882,23.33
,"Houston County, AL",1069.0,2020.0,2020.0,23.6,106580,22.19
,"Houston County, AL",1069.0,2021.0,2021.0,23.0,107458,21.39
,"Houston County, AL",1069.0,2022.0,2022.0,24.0,108079,22.21
,"Houston County, AL",1069.0,2023.0,2023.0,22.8,108462,20.99
,"Jackson County, AL",1071.0,2018.0,2018.0,12.0,51736,0.02
,"Jackson County, AL",1071.0,2019.0,2019.0,12.0,51626,0.02
,"Jackson County, AL",1071.0,2020.0,2020.0,13.0,51582,0.03
,"Jackson County, AL",1071.0,2021.0,2021.0,12.0,52773,0.02
,"Jackson County, AL",1071.0,2022.0,2022.0,0.0,52891,0.02
,"Jackson County, AL",1071.0,2023.0,2023.0,0.0,53467,0.02
,"Jefferson County, AL",1073.0,2018.0,2018.0,251.0,659300,38.07
,"Jefferson County, AL",1073.0,2019.0,2019.0,261.0,658573,39.63
,"Jefferson County, AL",1073.0,2020.0,2020.0,362.0,655342,55.24
,"Jefferson County, AL",1073.0,2021.0,2021.0,415.0,667820,62.14
,"Jefferson County, AL",1073.0,2022.0,2022.0,403.0,665409,60.56
,"Jefferson County, AL",1073.0,2023.0,2023.0,450.0,662895,67.88
,"Lamar County, AL",1075.0,2018.0,2018.0,0.0,13844,0.00
,"Lamar County, AL",1075.0,2019.0,2019.0,0.0,13805,0.00
,"Lamar County, AL",1075.0,2020.0,2020.0,0.0,13764,0.00
,"Lamar County, AL",1075.0,2021.0,2021.0,0.0,13689,0.00
,"Lamar County, AL",1075.0,2022.0,2022.0,0.0,13705,0.00
,"Lamar County, AL",1075.0,2023.0,2023.0,0.0,13661,0.00
,"Lauderdale County, AL",1077.0,2018.0,2018.0,18.3,92387,19.84
,"Lauderdale County, AL",1077.0,2019.0,2019.0,18.0,92729,19.40
,"Lauderdale County, AL",1077.0,2020.0,2020.0,16.0,93368,0.02
,"Lauderdale County, AL",1077.0,2021.0,2021.0,19.1,94043,20.34
,"Lauderdale County, AL",1077.0,2022.0,2022.0,29.0,95878,30.25
,"Lauderdale County, AL",1077.0,2023.0,2023.0,25.0,96814,25.82
,"Lawrence County, AL",1079.0,2018.0,2018.0,0.0,32957,0.00
,"Lawrence County, AL",1079.0,2019.0,2019.0,0.0,32924,0.00
,"Lawrence County, AL",1079.0,2020.0,2020.0,0.0,32857,0.00
,"Lawrence County, AL",1079.0,2021.0,2021.0,0.0,33090,0.00
,"Lawrence County, AL",1079.0,2022.0,2022.0,0.0,33214,0.00
,"Lawrence County, AL",1079.0,2023.0,2023.0,0.0,33502,0.00
,"Lee County, AL",1081.0,2018.0,2018.0,29.4,163941,17.93
,"Lee County, AL",1081.0,2019.0,2019.0,26.7,164542,16.23
,"Lee County, AL",1081.0,2020.0,2020.0,30.0,166831,18.01
,"Lee County, AL",1081.0,2021.0,2021.0,24.0,177218,13.54
,"Lee County, AL",1081.0,2022.0,2022.0,31.9,180773,17.65
,"Lee County, AL",1081.0,2023.0,2023.0,36.0,183215,19.65
,"Limestone County, AL",1083.0,2018.0,2018.0,11.0,96174,0.01
,"Limestone County, AL",1083.0,2019.0,2019.0,8.0,98915,0.01
,"Limestone County, AL",1083.0,2020.0,2020.0,8.0,102228,0.01
,"Limestone County, AL",1083.0,2021.0,2021.0,0.0,107517,0.01
,"Limestone County, AL",1083.0,2022.0,2022.0,0.0,110900,0.01
,"Limestone County, AL",1083.0,2023.0,2023.0,0.0,114654,0.01
,"Lowndes County, AL",1085.0,2018.0,2018.0,0.0,9974,0.00
,"Lowndes County, AL",1085.0,2019.0,2019.0,0.0,9726,0.00
,"Lowndes County, AL",1085.0,2020.0,2020.0,0.0,9641,0.00
,"Lowndes County, AL",1085.0,2021.0,2021.0,0.0,9965,0.00
,"Lowndes County, AL",1085.0,2022.0,2022.0,0.0,9777,0.00
,"Lowndes County, AL",1085.0,2023.0,2023.0,0.0,9717,0.00
,"Macon County, AL",1087.0,2018.0,2018.0,169.0,18439,0.92
,"Macon County, AL",1087.0,2019.0,2019.0,423.0,18068,2.34
,"Macon County, AL",1087.0,2020.0,2020.0,193.0,17895,1.08
,"Macon County, AL",1087.0,2021.0,2021.0,420.0,18895,2.23
,"Macon County, AL",1087.0,2022.0,2022.0,279.0,18516,1.50
,"Macon County, AL",1087.0,2023.0,2023.0,372.0,18370,2.02
,"Madison County, AL",1089.0,2018.0,2018.0,42.0,366519,11.46
,"Madison County, AL",1089.0,2019.0,2019.0,77.0,372909,20.65
,"Madison County, AL",1089.0,2020.0,2020.0,105.0,379453,27.67
,"Madison County, AL",1089.0,2021.0,2021.0,130.0,395211,32.89
,"Madison County, AL",1089.0,2022.0,2022.0,116.0,403565,28.74
,"Madison County, AL",1089.0,2023.0,2023.0,110.0,412600,26.66
,"Marengo County, AL",1091.0,2018.0,2018.0,376.0,19066,1.97
,"Marengo County, AL",1091.0,2019.0,2019.0,554.0,18863,2.94
,"Marengo County, AL",1091.0,2020.0,2020.0,186.0,18733,0.99
,"Marengo County, AL",1091.0,2021.0,2021.0,137.0,18996,0.72
,"Marengo County, AL",1091.0,2022.0,2022.0,438.0,18745,2.34
,"Marengo County, AL",1091.0,2023.0,2023.0,336.0,18684,1.80
,"Marion County, AL",1093.0,2018.0,2018.0,0.0,29763,0.00
,"Marion County, AL",1093.0,2019.0,2019.0,0.0,29709,0.00
,"Marion County, AL",1093.0,2020.0,2020.0,0.0,29703,0.00
,"Marion County, AL",1093.0,2021.0,2021.0,0.0,29246,0.00
,"Marion County, AL",1093.0,2022.0,2022.0,0.0,29156,0.00
,"Marion County, AL",1093.0,2023.0,2023.0,0.0,29244,0.00
,"Marshall County, AL",1095.0,2018.0,2018.0,27.3,96109,28.36
,"Marshall County, AL",1095.0,2019.0,2019.0,22.0,96774,22.73
,"Marshall County, AL",1095.0,2020.0,2020.0,26.7,96990,27.53
,"Marshall County, AL",1095.0,2021.0,2021.0,35.0,98228,35.63
,"Marshall County, AL",1095.0,2022.0,2022.0,32.0,99423,32.19
,"Marshall County, AL",1095.0,2023.0,2023.0,28.0,100756,27.79
,"Mobile County, AL",1097.0,2018.0,2018.0,60.0,413757,14.50
,"Mobile County, AL",1097.0,2019.0,2019.0,51.0,413210,12.34
,"Mobile County, AL",1097.0,2020.0,2020.0,93.0,412716,22.53
,"Mobile County, AL",1097.0,2021.0,2021.0,124.0,413073,30.02
,"Mobile County, AL",1097.0,2022.0,2022.0,119.0,411411,28.92
,"Mobile County, AL",1097.0,2023.0,2023.0,133.0,411640,32.31
,"Monroe County, AL",1099.0,2018.0,2018.0,252.0,21067,1.19
,"Monroe County, AL",1099.0,2019.0,2019.0,190.0,20733,0.92
,"Monroe County, AL",1099.0,2020.0,2020.0,488.0,20459,2.39
,"Monroe County, AL",1099.0,2021.0,2021.0,157.0,19648,0.80
,"Monroe County, AL",1099.0,2022.0,2022.0,413.0,19404,2.13
,"Monroe County, AL",1099.0,2023.0,2023.0,485.0,19229,2.52
,"Montgomery County, AL",1101.0,2018.0,2018.0,39.8,225763,17.65
,"Montgomery County, AL",1101.0,2019.0,2019.0,38.7,226486,17.08
,"Montgomery County, AL",1101.0,2020.0,2020.0,32.0,224639,14.25
,"Montgomery County, AL",1101.0,2021.0,2021.0,39.0,227434,17.15
,"Montgomery County, AL",1101.0,2022.0,2022.0,40.0,226361,17.67
,"Montgomery County, AL",1101.0,2023.0,2023.0,36.0,224980,16.00
,"Morgan County, AL",1103.0,2018.0,2018.0,22.0,119089,18.47
,"Morgan County, AL",1103.0,2019.0,2019.0,32.2,119679,26.88
,"Morgan County, AL",1103.0,2020.0,2020.0,27.0,119883,22.52
,"Morgan County, AL",1103.0,2021.0,2021.0,32.0,123668,25.88
,"Morgan County, AL",1103.0,2022.0,2022.0,46.0,124211,37.03
,"Morgan County, AL",1103.0,2023.0,2023.0,42.0,125133,33.56
,"Perry County, AL",1105.0,2018.0,2018.0,0.0,9140,0.00
,"Perry County, AL",1105.0,2019.0,2019.0,0.0,8923,0.00
,"Perry County, AL",1105.0,2020.0,2020.0,0.0,8687,0.00
,"Perry County, AL",1105.0,2021.0,2021.0,0.0,8355,0.00
,"Perry County, AL",1105.0,2022.0,2022.0,0.0,8035,0.00
,"Perry County, AL",1105.0,2023.0,2023.0,0.0,7738,0.00
,"Pickens County, AL",1107.0,2018.0,2018.0,276.0,19938,1.38
,"Pickens County, AL",1107.0,2019.0,2019.0,512.0,19930,2.57
,"Pickens County, AL",1107.0,2020.0,2020.0,576.0,19793,2.91
,"Pickens County, AL",1107.0,2021.0,2021.0,369.0,18801,1.96
,"Pickens County, AL",1107.0,2022.0,2022.0,105.0,18697,0.56
,"Pickens County, AL",1107.0,2023.0,2023.0,539.0,18688,2.89
,"Pike County, AL",1109.0,2018.0,2018.0,429.0,33338,1.29
,"Pike County, AL",1109.0,2019.0,2019.0,249.0,33114,0.75
,"Pike County, AL",1109.0,2020.0,2020.0,494.0,32966,1.50
,"Pike County, AL",1109.0,2021.0,2021.0,947.0,32991,2.87
,"Pike County, AL",1109.0,2022.0,2022.0,561.0,33014,1.70
,"Pike County, AL",1109.0,2023.0,2023.0,297.0,33137,0.90
,"Randolph County, AL",1111.0,2018.0,2018.0,670.0,22725,2.95
,"Randolph County, AL",1111.0,2019.0,2019.0,141.0,22722,0.62
,"Randolph County, AL",1111.0,2020.0,2020.0,377.0,22920,1.64
,"Randolph County, AL",1111.0,2021.0,2021.0,216.0,21989,0.98
,"Randolph County, AL",1111.0,2022.0,2022.0,448.0,22479,2.00
,"Randolph County, AL",1111.0,2023.0,2023.0,220.0,22786,0.96
,"Russell County, AL",1113.0,2018.0,2018.0,22.1,57781,38.32
,"Russell County, AL",1113.0,2019.0,2019.0,24.5,57961,42.21
,"Russell County, AL",1113.0,2020.0,2020.0,21.1,58237,36.32
,"Russell County, AL",1113.0,2021.0,2021.0,24.0,58722,40.87
,"Russell County, AL",1113.0,2022.0,2022.0,21.9,58555,37.39
,"Russell County, AL",1113.0,2023.0,2023.0,22.0,58744,37.45
,"St. Clair County, AL",1115.0,2018.0,2018.0,27.0,88690,30.44
,"St. Clair County, AL",1115.0,2019.0,2019.0,22.0,89512,24.58
,"St. Clair County, AL",1115.0,2020.0,2020.0,30.0,90739,33.06
,"St. Clair County, AL",1115.0,2021.0,2021.0,46.0,92748,49.60
,"St. Clair County, AL",1115.0,2022.0,2022.0,45.0,93932,47.91
,"St. Clair County, AL",1115.0,2023.0,2023.0,43.0,95552,45.00
,"Shelby County, AL",1117.0,2018.0,2018.0,35.0,215707,16.23
,"Shelby County, AL",1117.0,2019.0,2019.0,35.0,217702,16.08
,"Shelby County, AL",1117.0,2020.0,2020.0,44.0,221428,19.87
,"Shelby County, AL",1117.0,2021.0,2021.0,63.0,226902,27.77
,"Shelby County, AL",1117.0,2022.0,2022.0,65.0,230115,28.25
,"Shelby County, AL",1117.0,2023.0,2023.0,50.0,233000,21.46
,"Sumter County, AL",1119.0,2018.0,2018.0,0.0,12691,0.00
,"Sumter County, AL",1119.0,2019.0,2019.0,0.0,12427,0.00
,"Sumter County, AL",1119.0,2020.0,2020.0,0.0,12225,0.00
,"Sumter County, AL",1119.0,2021.0,2021.0,0.0,12164,0.00
,"Sumter County, AL",1119.0,2022.0,2022.0,0.0,11853,0.00
,"Sumter County, AL",1119.0,2023.0,2023.0,0.0,11727,0.00
,"Talladega County, AL",1121.0,2018.0,2018.0,10.5,79828,13.15
,"Talladega County, AL",1121.0,2019.0,2019.0,15.0,79978,0.02
,"Talladega County, AL",1121.0,2020.0,2020.0,20.0,79985,0.03
,"Talladega County, AL",1121.0,2021.0,2021.0,21.0,81524,25.76
,"Talladega County, AL",1121.0,2022.0,2022.0,10.5,80704,12.96
,"Talladega County, AL",1121.0,2023.0,2023.0,22.0,81132,27.12
,"Tallapoosa County, AL",1123.0,2018.0,2018.0,710.0,40497,1.75
,"Tallapoosa County, AL",1123.0,2019.0,2019.0,315.0,40367,0.78
,"Tallapoosa County, AL",1123.0,2020.0,2020.0,284.0,40133,0.71
,"Tallapoosa County, AL",1123.0,2021.0,2021.0,408.0,41023,0.99
,"Tallapoosa County, AL",1123.0,2022.0,2022.0,727.0,40977,1.78
,"Tallapoosa County, AL",1123.0,2023.0,2023.0,430.0,40677,1.06
,"Tuscaloosa County, AL",1125.0,2018.0,2018.0,27.0,208911,12.92
,"Tuscaloosa County, AL",1125.0,2019.0,2019.0,25.0,209355,11.94
,"Tuscaloosa County, AL",1125.0,2020.0,2020.0,42.0,210758,19.93
